year,doy,hod,A,E,Ci,gs,gb,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[mol m-2 s-1],[mol m-2 s-1],[deg C]
2006,89,9.0,10.9,3.0,23.811374999999998,0.183,2.84,20.32
2006,89,9.0,14.9,4.64,18.137175,0.168,2.84,26.76
2006,89,9.0,9.72,4.45,23.9127,0.16899999999999998,2.84,26.07
2006,89,9.0,14.8,3.94,23.406075,0.245,2.84,20.34
2006,89,9.0,13.3,3.21,21.27825,0.184,2.84,21.04
2006,89,9.0,10.6,2.98,23.406075,0.17300000000000001,2.84,20.86
2006,89,9.0,12.4,3.18,18.2385,0.132,2.84,24.71
2006,89,9.0,15.3,3.79,17.326575,0.156,2.84,24.92
2006,89,11.5,12.2,2.61,10.74045,0.086,2.84,29.04
2006,89,11.5,9.72,2.28,11.855025,0.07200000000000001,2.84,29.36
2006,89,11.5,10.8,2.47,13.17225,0.0858,2.84,28.23
2006,89,11.5,9.24,1.8,9.48402,0.0624,2.84,28.14
2006,89,13.0,6.59,2.38,20.366325,0.0807,2.84,29.29
2006,89,13.0,6.23,1.57,8.9064675,0.0408,2.84,32.49
2006,89,13.0,12.4,2.4,2.7864375,0.0655,2.84,31.92
2006,89,13.0,8.08,1.89,8.369444999999999,0.0518,2.84,31.85
2006,89,13.0,3.25,1.9,25.432575,0.0618,2.84,29.72
2006,306,8.0,10.5,1.87,19.0491,0.115,2.84,23.39
2006,306,8.0,12.1,2.53,20.974275,0.157,2.84,23.93
2006,306,8.0,12.1,2.13,20.6703,0.151,2.84,22.85
2006,306,8.0,8.86,1.69,20.6703,0.106,2.84,23.28
2006,306,8.0,9.87,1.62,21.582225,0.128,2.84,21.27
2006,306,8.0,10.6,1.72,21.27825,0.135,2.84,21.51
2006,306,8.0,7.88,1.76,25.73655,0.14800000000000002,2.84,20.73
2006,306,8.0,15.4,2.77,21.379575,0.214,2.84,22.34
2006,306,8.0,11.5,2.01,21.379575,0.15,2.84,21.85
2006,306,8.0,11.7,1.98,20.46765,0.14300000000000002,2.84,22.11
2006,306,10.0,12.9,3.46,19.758375,0.154,2.84,25.9
2006,306,10.0,10.6,2.89,19.150425,0.121,2.84,26.46
2006,306,10.0,11.0,2.64,18.84645,0.11800000000000001,2.84,25.71
2006,306,10.0,8.57,2.45,22.6968,0.122,2.84,24.56
2006,306,10.0,3.17,2.02,31.208099999999998,0.132,2.84,22.73
2006,306,10.0,7.65,1.71,22.595475,0.10300000000000001,2.84,23.26
2006,306,10.0,10.1,3.03,21.27825,0.135,2.84,25.83
2006,306,10.0,13.0,3.47,19.25175,0.15,2.84,26.16
2006,306,10.0,10.2,2.43,17.731875,0.106,2.84,25.89
2006,306,10.0,9.06,2.08,16.718625,0.0886,2.84,26.1
2006,306,12.0,10.5,2.85,16.921275,0.1,2.84,28.43
2006,306,12.0,9.57,2.62,17.63055,0.0951,2.84,27.99
2006,306,12.0,9.05,2.86,18.745124999999998,0.0966,2.84,28.93
2006,306,12.0,9.74,3.24,19.8597,0.113,2.84,28.69
2006,306,12.0,6.96,2.42,16.00935,0.0652,2.84,31.67
2006,306,12.0,8.81,3.38,16.414649999999998,0.0851,2.84,32.65
2006,306,12.0,9.46,3.24,22.08885,0.129,2.84,27.24
2006,306,12.0,9.94,2.46,14.5908,0.0824,2.84,28.92
2006,306,12.0,9.47,2.12,13.070924999999999,0.0742,2.84,28.38
2006,306,12.0,6.3,2.23,22.2915,0.0862,2.84,27.24
2006,306,14.0,9.49,3.32,19.8597,0.111,2.84,29.26
2006,306,14.0,5.1,1.98,21.176925,0.0641,2.84,29.33
2006,306,14.0,5.86,3.22,25.027275,0.10400000000000001,2.84,29.58
2006,306,14.0,7.04,3.66,23.811374999999998,0.113,2.84,30.29
2006,306,14.0,8.96,2.65,13.476225,0.0727,2.84,31.54
2006,306,14.0,6.63,3.53,23.30475,0.10300000000000001,2.84,30.81
2006,306,14.0,6.05,1.44,13.57755,0.048,2.84,28.81
2006,306,14.0,4.84,2.11,23.811374999999998,0.0748,2.84,28.2
2006,306,14.0,7.54,2.08,15.300075,0.0652,2.84,29.66
2006,306,14.0,9.61,3.17,18.2385,0.1,2.84,29.96
2006,306,16.0,4.17,2.44,23.9127,0.0687,2.84,31.29
2006,306,16.0,4.07,1.84,21.176925,0.0506,2.84,31.36
2006,306,16.0,3.48,1.26,18.44115,0.0354,2.84,31.32
2006,306,16.0,2.02,1.62,28.067025,0.0502,2.84,30.16
2006,306,16.0,7.29,2.64,19.961025,0.0835,2.84,30.48
2006,306,16.0,6.78,2.07,16.81995,0.0631,2.84,30.75
2006,306,16.0,1.96,1.75,27.9657,0.0506,2.84,30.67
2006,306,16.0,2.17,1.29,24.92595,0.0378,2.84,30.44
2006,306,16.0,6.98,2.03,13.7802,0.0562,2.84,31.22
2006,306,16.0,6.75,1.87,12.76695,0.0518,2.84,31.25
2007,45,7.5,14.0,1.68,8.5416975,0.0901,2.84,24.14
2007,45,7.5,10.3,1.3,10.33515,0.0704,2.84,23.87
2007,45,7.5,10.1,1.51,12.868275,0.0775,2.84,24.5
2007,45,7.5,2.88,2.25,31.106775,0.11599999999999999,2.84,24.57
2007,45,7.5,9.48,1.13,12.462975,0.0724,2.84,22.37
2007,45,7.5,9.59,0.9279999999999999,6.849569999999999,0.0586,2.84,22.34
2007,45,7.5,8.97,1.04,12.868275,0.0728,2.84,21.55
2007,45,7.5,3.66,0.563,18.745124999999998,0.0397,2.84,21.33
2007,45,7.5,12.2,1.35,8.5619625,0.0825,2.84,22.81
2007,45,7.5,9.14,1.11,12.158999999999999,0.0715,2.84,22.29
2007,45,9.0,8.21,2.25,16.718625,0.0773,2.84,28.12
2007,45,9.0,7.01,2.56,21.8862,0.0924,2.84,27.59
2007,45,9.0,10.3,3.28,17.833199999999998,0.11,2.84,28.75
2007,45,9.0,9.02,3.13,18.84645,0.102,2.84,28.95
2007,45,9.0,7.83,1.57,10.9431,0.0543,2.84,27.93
2007,45,9.0,10.3,1.74,7.194075,0.062,2.84,27.57
2007,45,9.0,9.52,1.86,11.95635,0.0701,2.84,27.07
2007,45,9.0,9.52,2.21,15.19875,0.0821,2.84,27.14
2007,45,9.0,10.4,2.34,14.894775,0.0886,2.84,27.02
2007,45,9.0,8.42,1.9,14.286825,0.0693,2.84,27.35
2007,45,10.25,3.39,2.49,18.745124999999998,0.0403,2.84,39.04
2007,45,10.25,1.25,2.63,27.9657,0.0428,2.84,39.02
2007,45,10.25,3.23,2.98,21.784875,0.0487,2.84,38.92
2007,45,10.25,2.07,2.22,23.203425,0.0358,2.84,39.16
2007,45,10.25,2.1,1.54,18.137175,0.0238,2.84,38.62
2007,45,10.25,3.26,2.34,16.718625,0.0342,2.84,39.73
2007,45,10.25,2.63,2.28,20.06235,0.0345,2.84,39.1
2007,45,10.25,3.99,4.71,23.406075,0.0726,2.84,39.02
2007,45,10.25,3.85,3.08,19.150425,0.0475,2.84,38.84
2007,45,10.25,1.5,2.07,24.824625,0.0318,2.84,38.81
2007,45,12.0,2.48,2.34,18.6438,0.0291,2.84,42.21
2007,45,12.0,1.52,2.37,23.71005,0.0289,2.84,42.59
2007,45,12.0,1.15,1.43,22.798125,0.0188,2.84,42.2
2007,45,12.0,1.56,2.52,25.635225,0.0362,2.84,40.77
2007,45,12.0,3.31,1.81,11.3484,0.0246,2.84,41.24
2007,45,12.0,0.28,0.8690000000000001,27.459075,0.0102,2.84,43.1
2007,45,12.0,0.863,0.9420000000000001,20.06235,0.0114,2.84,42.61
2007,45,12.0,0.9740000000000001,1.12,20.568975,0.0134,2.84,42.79
2007,45,12.0,2.68,2.61,19.0491,0.0325,2.84,42.27
2007,45,12.0,0.77,3.52,29.9922,0.05,2.84,40.24
2007,45,12.0,1.61,1.12,15.908025,0.0154,2.84,40.53
2007,45,14.666666666666698,0.423,1.51,27.256425,0.0163,2.84,44.59
2007,45,14.666666666666698,0.418,1.08,26.141849999999998,0.0122,2.84,43.61
2007,45,14.666666666666698,-0.161,1.86,32.525325,0.0202,2.84,44.35
2007,45,14.666666666666698,0.268,0.607,24.92595,0.00645,2.84,44.16
2007,45,14.666666666666698,-0.0291,0.521,32.0187,0.00545,2.84,44.42
2007,45,16.5,0.12,0.183,23.000775,0.00213,2.84,42.54
2007,45,16.5,1.02,1.67,23.608725,0.0196,2.84,42.41
2007,45,16.5,1.26,1.69,21.987524999999998,0.0201,2.84,42.25
2007,45,16.5,0.0322,1.01,31.309425,0.0119,2.84,42.44
2007,45,16.5,1.01,0.8859999999999999,19.25175,0.012,2.84,39.97
2007,45,16.5,0.945,0.878,19.555725,0.0116,2.84,40.42
2007,45,16.5,0.7979999999999999,0.968,22.49415,0.0128,2.84,40.45
2007,45,16.5,0.0191,0.262,31.106775,0.0032700000000000003,2.84,41.39
2007,45,16.5,0.737,0.941,21.784875,0.0113,2.84,42.02
2007,45,16.5,0.647,1.51,26.141849999999998,0.0179,2.84,42.36
2007,45,17.6666666666667,0.5479999999999999,0.8370000000000001,24.92595,0.0115,2.84,39.88
2007,45,17.6666666666667,1.26,1.25,20.6703,0.0169,2.84,40.07
2007,45,17.6666666666667,0.41600000000000004,0.5429999999999999,23.9127,0.007540000000000001,2.84,39.59
2007,45,17.6666666666667,0.557,0.364,16.6173,0.00542,2.84,38.38
2007,45,17.6666666666667,0.825,0.653,19.758375,0.0099,2.84,38.13
2007,45,17.6666666666667,0.36700000000000005,0.429,23.811374999999998,0.00644,2.84,38.3
2007,45,17.6666666666667,0.664,0.615,21.4809,0.0092,2.84,38.35
2007,45,17.6666666666667,0.262,0.495,26.445825,0.00687,2.84,39.61
2007,45,17.6666666666667,0.7340000000000001,1.17,25.432575,0.0161,2.84,39.8
